,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Playerâ–²,Dist.,2P.2,3P.2,%FGA,DRTG
0,Precious Achiuwa,C,23,TOR,55,1140,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,0.8,1.4,2.2,0.093,-1.4,-0.8,-2.3,-0.1,Precious Achiuwa,9.8,0.629,1.0,0.141,115.6
1,Steven Adams,C,29,MEM,42,1133,17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,1.3,2.1,3.4,0.144,-0.3,0.9,0.6,0.7,Steven Adams,2.6,0.503,0.0,0.163,109.0
2,Bam Adebayo,C,25,MIA,75,2598,20.1,0.592,0.011,0.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,0.137,0.8,0.8,1.5,2.3,Bam Adebayo,7.4,0.601,1.0,0.136,111.2
3,Ochai Agbaji,SG,22,UTA,59,1209,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,0.9,0.4,1.3,0.053,-1.7,-1.4,-3.0,-0.3,Ochai Agbaji,16.9,0.762,0.988,0.054,114.6
4,Santi Aldama,PF,22,MEM,77,1682,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,2.1,2.4,4.6,0.13,-0.3,0.8,0.5,1.1,Santi Aldama,14.6,0.68,0.968,0.118,110.2
5,Nickeil Alexander-Walker,SG,24,TOT,59,884,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,0.3,0.8,1.1,0.062,-1.4,0.4,-0.9,0.2,Nickeil Alexander-Walker,16.9,0.329,0.803,0.01,111.8
6,Grayson Allen,SG,27,MIL,72,1972,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0,Grayson Allen,18.7,0.606,0.884,0.027,109.1
7,Jarrett Allen,C,24,CLE,68,2220,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,5.5,4.0,9.5,0.205,1.3,1.0,2.4,2.4,Jarrett Allen,4.4,0.774,1.0,0.319,108.8
8,Jose Alvarado,PG,24,NOP,61,1310,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2.0,0.7,-1.2,0.3,Jose Alvarado,15.6,0.381,0.94,0.0,108.4
9,Kyle Anderson,PF,29,MIN,69,1957,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2,Kyle Anderson,9.9,0.512,0.93,0.02,111.7
10,Giannis Antetokounmpo,PF,28,MIL,63,2024,29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,4.9,3.7,8.6,0.204,5.8,2.7,8.5,5.4,Giannis Antetokounmpo,8.1,0.415,0.617,0.166,109.2
11,Cole Anthony,PG,22,ORL,60,1552,16.0,0.57,0.338,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,2.1,1.7,3.7,0.116,0.7,0.5,1.3,1.3,Cole Anthony,14.7,0.248,0.733,0.023,112.5
12,Deni Avdija,SF,22,WAS,76,2020,11.2,0.535,0.401,0.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,0.0,2.3,2.3,0.054,-2.8,0.5,-2.3,-0.1,Deni Avdija,13.3,0.538,0.942,0.057,114.1
13,Deandre Ayton,C,24,PHO,67,2035,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,3.3,3.0,6.2,0.147,0.9,0.0,0.9,1.5,Deandre Ayton,7.7,0.792,0.857,0.131,113.2
14,Marvin Bagley III,C,23,DET,42,990,17.2,0.587,0.173,0.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,1.3,0.7,2.0,0.095,0.3,-1.2,-0.9,0.3,Marvin Bagley III,9.0,0.628,0.947,0.076,117.9
15,LaMelo Ball,PG,21,CHO,36,1268,17.9,0.541,0.531,0.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30.0,0.6,1.2,1.8,0.068,3.2,-0.8,2.4,1.4,LaMelo Ball,17.7,0.25,0.653,0.004,117.3
16,Mo Bamba,C,24,TOT,49,769,15.7,0.602,0.515,0.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,1.1,1.1,2.2,0.139,-0.2,0.7,0.5,0.5,Mo Bamba,15.1,0.754,1.0,0.178,111.5
17,Paolo Banchero,PF,20,ORL,72,2430,14.9,0.529,0.254,0.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,-0.3,2.6,2.4,0.047,-0.7,-0.7,-1.5,0.3,Paolo Banchero,12.4,0.404,0.706,0.054,115.3
18,Desmond Bane,SG,24,MEM,58,1841,19.1,0.606,0.433,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,3.5,2.3,5.8,0.151,3.3,0.1,3.5,2.5,Desmond Bane,14.8,0.521,0.729,0.007,107.4
19,Dominick Barlow,PF,19,SAS,28,408,12.4,0.567,0.047,0.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,0.5,0.2,0.7,0.082,-3.7,-0.8,-4.6,-0.3,Dominick Barlow,5.5,0.739,0.0,0.151,115.9
20,Harrison Barnes,PF,30,SAC,82,2662,14.1,0.632,0.446,0.522,3.8,11.9,7.9,6.3,1.0,0.3,8.1,17.1,5.1,1.4,6.5,0.118,0.5,-1.5,-1.0,0.7,Harrison Barnes,13.7,0.587,0.932,0.063,115.2
21,Scottie Barnes,SF,21,TOR,77,2678,15.5,0.524,0.22,0.242,7.1,15.2,10.8,20.0,1.5,2.2,12.0,20.3,2.3,2.7,5.0,0.09,0.5,-0.1,0.4,1.6,Scottie Barnes,10.8,0.493,0.841,0.087,111.6
22,RJ Barrett,SG,22,NYK,73,2475,12.9,0.531,0.332,0.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,0.5,1.8,2.2,0.043,-1.2,-1.9,-3.1,-0.7,RJ Barrett,11.5,0.424,0.926,0.029,116.5
23,Will Barton,SG,32,TOT,56,993,10.0,0.493,0.495,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,-0.4,0.8,0.4,0.021,-2.0,-0.6,-2.6,-0.2,Will Barton,17.8,0.458,0.742,0.022,113.2
24,Charles Bassey,C,22,SAS,35,508,18.8,0.658,0.059,0.274,15.5,26.4,20.7,12.9,1.5,5.4,21.3,15.6,0.7,0.6,1.3,0.122,-0.7,1.3,0.6,0.3,Charles Bassey,5.3,0.643,0.667,0.178,111.5
25,Keita Bates-Diop,PF,27,SAS,67,1452,14.9,0.609,0.305,0.323,4.7,14.3,9.3,9.8,1.5,1.1,9.5,16.7,2.1,0.6,2.7,0.089,0.3,-0.9,-0.6,0.5,Keita Bates-Diop,10.4,0.65,0.982,0.039,116.6
26,Nicolas Batum,PF,34,LAC,78,1709,11.0,0.594,0.832,0.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,1.7,1.9,3.6,0.101,-0.8,1.2,0.5,1.0,Nicolas Batum,21.6,0.611,0.992,0.024,110.0
27,Darius Bazley,C,22,TOT,43,616,13.1,0.524,0.29,0.383,5.8,18.5,12.1,8.3,1.7,5.1,11.2,16.4,0.1,0.9,1.0,0.078,-2.0,1.0,-1.0,0.2,Darius Bazley,9.9,0.794,0.95,0.186,109.2
28,Bradley Beal,SG,29,WAS,50,1673,19.7,0.593,0.249,0.26,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,2.2,1.2,3.4,0.099,2.9,-1.2,1.8,1.6,Bradley Beal,12.9,0.401,0.713,0.016,115.9
29,Malik Beasley,SG,26,TOT,81,2093,10.9,0.531,0.702,0.069,1.8,12.5,7.3,8.4,1.5,0.4,8.5,21.1,-0.2,1.6,1.4,0.032,-0.9,-1.0,-2.0,0.0,Malik Beasley,21.0,0.511,0.855,0.006,114.6
30,MarJon Beauchamp,SF,22,MIL,52,701,8.2,0.513,0.584,0.152,5.9,11.0,8.5,6.7,1.4,0.8,14.8,18.3,-0.4,0.8,0.4,0.027,-4.1,-0.6,-4.8,-0.5,MarJon Beauchamp,17.5,0.551,0.872,0.058,112.9
31,Patrick Beverley,SG,34,TOT,67,1816,8.9,0.534,0.664,0.181,2.7,12.0,7.5,13.3,1.7,2.0,13.4,10.6,0.8,2.1,3.0,0.079,-2.9,1.7,-1.2,0.3,Patrick Beverley,18.7,0.359,0.875,0.003,113.1
32,Saddiq Bey,SF,23,TOT,77,2129,14.6,0.564,0.5,0.285,5.0,14.0,9.4,8.1,1.6,0.5,7.0,20.2,2.6,1.2,3.9,0.087,0.9,-1.2,-0.3,0.9,Saddiq Bey,15.8,0.381,0.914,0.037,117.0
33,Goga Bitadze,C,23,TOT,38,457,17.1,0.582,0.208,0.336,15.0,18.7,16.8,12.1,1.7,5.3,13.3,15.4,0.8,0.6,1.3,0.141,-0.8,1.1,0.3,0.3,Goga Bitadze,7.8,0.635,0.833,0.152,105.4
34,Bismack Biyombo,C,30,PHO,61,874,14.4,0.555,0.0,0.34,11.0,22.1,16.5,8.7,1.0,9.0,17.7,14.0,0.2,1.6,1.9,0.102,-3.4,2.5,-0.9,0.2,Bismack Biyombo,4.4,0.824,0.0,0.214,109.7
35,Bol Bol,PF,23,ORL,70,1505,14.4,0.603,0.236,0.226,5.2,25.3,15.2,6.9,1.0,5.5,17.6,18.2,0.0,2.2,2.3,0.072,-1.8,0.9,-0.9,0.4,Bol Bol,10.7,0.537,0.767,0.157,112.0
36,Devin Booker,SG,26,PHO,53,1835,22.0,0.601,0.296,0.336,2.7,12.0,7.2,27.3,1.4,0.9,10.6,31.8,4.2,1.9,6.0,0.157,4.5,-0.3,4.2,2.9,Devin Booker,14.5,0.387,0.685,0.02,113.4
37,Brandon Boston Jr.,SF,21,LAC,22,248,13.4,0.515,0.238,0.311,3.2,10.3,6.8,12.5,1.8,0.0,8.0,26.5,0.0,0.2,0.2,0.04,-1.5,-0.7,-2.2,0.0,Brandon Boston Jr.,12.6,0.538,0.583,0.09,114.5
38,Chris Boucher,PF,30,TOR,76,1523,18.0,0.59,0.357,0.318,10.9,21.2,15.7,2.7,1.5,4.1,6.4,18.0,3.0,2.0,5.0,0.156,0.7,-0.8,-0.1,0.7,Chris Boucher,11.2,0.578,0.984,0.149,111.6
39,James Bouknight,SG,22,CHO,34,515,6.2,0.463,0.565,0.155,1.6,13.5,7.5,11.1,1.3,0.8,13.4,19.5,-0.8,0.4,-0.4,-0.04,-5.4,-1.1,-6.5,-0.6,James Bouknight,17.9,0.5,0.697,0.016,110.9
40,Malaki Branham,SG,19,SAS,66,1550,9.5,0.524,0.417,0.115,1.9,11.2,6.4,11.4,1.0,0.4,10.6,19.1,-0.4,0.2,-0.1,-0.004,-3.0,-2.1,-5.2,-1.3,Malaki Branham,15.5,0.495,0.922,0.02,119.4
41,Christian Braun,SG,21,DEN,76,1181,10.3,0.568,0.332,0.221,4.8,12.6,8.8,6.4,1.7,1.3,9.9,13.0,0.7,1.2,1.9,0.079,-2.5,0.1,-2.4,-0.1,Christian Braun,11.4,0.67,0.941,0.114,111.3
42,Mikal Bridges,SF,26,TOT,83,2963,16.8,0.587,0.349,0.279,2.9,10.8,6.8,13.7,1.5,1.8,8.2,22.6,4.4,3.1,7.5,0.121,1.5,0.2,1.7,2.8,Mikal Bridges,14.5,0.538,0.923,0.028,113.2
43,Oshae Brissett,PF,24,IND,65,1083,10.6,0.52,0.486,0.455,6.4,16.0,11.2,5.4,1.4,1.0,8.2,16.1,0.4,0.7,1.1,0.05,-2.0,-1.2,-3.2,-0.3,Oshae Brissett,14.1,0.72,0.958,0.05,111.8
44,Malcolm Brogdon,PG,30,BOS,67,1744,18.2,0.615,0.406,0.251,2.7,14.7,8.8,21.5,1.3,0.9,10.8,22.8,3.6,2.2,5.8,0.161,2.3,0.6,2.8,2.1,Malcolm Brogdon,14.6,0.342,0.659,0.007,109.3
45,Dillon Brooks,SF,27,MEM,73,2214,9.4,0.494,0.443,0.155,2.2,9.5,5.8,11.7,1.4,0.7,8.9,21.8,-0.8,2.4,1.6,0.034,-3.4,-0.5,-3.9,-1.1,Dillon Brooks,15.8,0.438,0.797,0.012,108.5
46,Bruce Brown,SF,26,DEN,80,2280,13.3,0.571,0.343,0.206,3.3,13.0,8.3,15.7,1.9,2.0,13.2,17.8,1.7,2.6,4.3,0.09,-1.1,0.6,-0.5,0.9,Bruce Brown,12.2,0.551,0.923,0.076,113.0
47,Jaylen Brown,SF,26,BOS,67,2405,19.1,0.581,0.352,0.249,3.6,17.0,10.4,16.5,1.5,0.9,11.4,31.4,1.6,3.4,5.0,0.1,1.5,-0.2,1.3,2.0,Jaylen Brown,13.9,0.477,0.687,0.053,111.2
48,Troy Brown Jr.,SF,23,LAL,76,1860,9.6,0.561,0.604,0.084,3.7,13.7,8.9,6.6,1.5,0.7,9.2,12.1,1.0,2.0,2.9,0.075,-1.8,0.8,-1.0,0.5,Troy Brown Jr.,17.5,0.667,0.953,0.03,112.5
49,Jalen Brunson,PG,26,NYK,68,2379,21.2,0.597,0.269,0.328,1.8,9.3,5.6,28.7,1.3,0.6,9.4,27.2,6.9,1.8,8.7,0.175,4.4,-0.5,3.9,3.5,Jalen Brunson,12.9,0.166,0.575,0.002,117.1
50,Thomas Bryant,C,25,TOT,59,1081,19.7,0.682,0.16,0.341,8.9,24.6,17.0,4.3,0.7,2.4,8.2,18.2,2.7,1.4,4.1,0.183,1.1,-0.5,0.6,0.7,Thomas Bryant,8.4,0.784,0.962,0.247,115.8
51,Alec Burks,SG,31,DET,51,1122,16.5,0.602,0.521,0.41,1.8,14.2,7.8,15.9,1.6,0.6,9.7,22.8,1.9,0.6,2.5,0.109,1.8,-0.5,1.2,0.9,Alec Burks,18.2,0.307,0.687,0.002,113.9
52,Jimmy Butler,PF,33,MIA,64,2138,27.6,0.647,0.116,0.625,7.5,13.3,10.3,27.1,2.7,1.0,8.2,25.6,9.4,2.9,12.3,0.277,6.7,2.0,8.7,5.8,Jimmy Butler,8.4,0.377,0.694,0.069,113.7
53,Kentavious Caldwell-Pope,SG,29,DEN,76,2381,11.5,0.598,0.505,0.198,1.7,8.1,5.0,9.8,2.3,1.3,11.1,14.1,2.0,2.5,4.5,0.091,-1.6,0.6,-1.0,0.6,Kentavious Caldwell-Pope,17.5,0.847,0.926,0.025,111.5
54,Clint Capela,C,28,ATL,65,1730,22.1,0.656,0.002,0.244,16.1,29.4,22.7,4.7,1.2,3.9,8.3,15.7,4.9,2.4,7.2,0.201,2.3,-0.1,2.2,1.8,Clint Capela,2.2,0.734,0.0,0.291,116.4
55,Jevon Carter,PG,27,MIL,81,1810,10.9,0.56,0.596,0.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,1.2,2.3,3.5,0.092,-1.9,1.2,-0.6,0.6,Jevon Carter,19.9,0.34,0.789,0.004,107.2
56,Wendell Carter Jr.,C,23,ORL,57,1690,17.3,0.621,0.367,0.318,8.0,25.3,16.6,12.0,0.9,1.9,13.2,20.5,2.6,2.0,4.6,0.13,0.9,0.1,1.0,1.3,Wendell Carter Jr.,13.3,0.649,0.988,0.145,111.4
57,Alex Caruso,PG,28,CHI,67,1575,11.5,0.588,0.528,0.255,3.1,10.9,7.1,15.4,3.0,2.8,19.5,11.1,1.0,2.6,3.6,0.109,-2.2,3.3,1.1,1.2,Alex Caruso,15.0,0.533,0.945,0.028,106.5
58,Max Christie,SG,19,LAL,41,512,7.4,0.566,0.585,0.151,1.5,13.8,7.8,5.1,0.8,1.2,10.3,10.4,0.1,0.5,0.6,0.058,-3.2,0.0,-3.1,-0.1,Max Christie,18.0,0.556,0.962,0.038,113.2
59,Josh Christopher,SG,21,HOU,64,786,11.5,0.523,0.271,0.182,2.8,7.2,5.0,14.3,2.0,1.9,14.4,21.9,-0.3,0.3,0.0,-0.001,-3.0,-1.4,-4.3,-0.5,Josh Christopher,11.9,0.348,0.762,0.082,119.3
60,Brandon Clarke,PF,26,MEM,56,1090,20.0,0.682,0.017,0.393,9.0,21.2,15.1,9.5,1.5,3.1,11.8,17.7,2.7,1.8,4.5,0.199,0.8,1.8,2.5,1.3,Brandon Clarke,5.1,0.768,1.0,0.158,108.3
61,Jordan Clarkson,SG,30,UTA,61,1988,14.7,0.558,0.445,0.238,4.0,9.3,6.7,20.9,0.8,0.6,14.0,27.8,0.9,0.8,1.7,0.042,1.0,-2.4,-1.4,0.3,Jordan Clarkson,15.7,0.215,0.748,0.016,116.6
62,Nic Claxton,C,23,BRK,76,2271,20.8,0.691,0.003,0.419,9.3,25.1,17.4,9.3,1.4,7.1,12.1,15.4,5.2,4.0,9.2,0.195,0.9,2.2,3.1,2.9,Nic Claxton,2.7,0.763,0.0,0.346,111.3
63,Amir Coffey,SF,25,LAC,50,625,7.0,0.498,0.276,0.434,3.1,6.4,4.7,11.2,0.5,0.7,10.8,13.5,0.1,0.3,0.4,0.033,-4.3,-0.7,-5.0,-0.5,Amir Coffey,12.1,0.6,1.0,0.041,113.1
64,John Collins,PF,25,ATL,71,2130,13.6,0.593,0.339,0.252,3.9,20.0,11.9,5.3,0.9,2.9,9.1,17.1,2.1,2.1,4.2,0.095,-1.4,0.2,-1.3,0.4,John Collins,12.2,0.792,0.957,0.115,115.2
65,Zach Collins,C,25,SAS,63,1441,16.4,0.599,0.268,0.259,8.5,22.5,15.2,18.0,1.2,2.8,17.4,21.2,1.2,1.0,2.2,0.074,-0.5,0.3,-0.2,0.6,Zach Collins,11.1,0.581,1.0,0.044,116.3
66,Mike Conley,PG,35,TOT,67,2029,14.7,0.583,0.575,0.277,1.8,7.9,4.9,29.4,1.7,0.6,13.1,16.3,4.1,1.4,5.5,0.13,1.0,-0.1,0.9,1.5,Mike Conley,18.3,0.381,0.696,0.0,116.1
67,Pat Connaughton,SF,30,MIL,61,1443,10.0,0.531,0.765,0.097,3.8,16.2,10.2,6.9,1.2,0.6,7.0,13.8,0.7,1.8,2.5,0.085,-1.3,0.3,-1.0,0.3,Pat Connaughton,20.3,0.75,0.982,0.019,109.9
68,Robert Covington,PF,32,LAC,48,779,14.2,0.584,0.594,0.175,4.5,19.2,11.9,10.2,2.4,3.7,11.5,15.6,0.7,1.2,1.9,0.117,-0.5,2.1,1.7,0.7,Robert Covington,16.8,0.75,0.981,0.035,110.2
69,Torrey Craig,PF,32,PHO,79,1948,11.6,0.566,0.506,0.09,8.1,16.3,12.1,7.9,1.3,2.9,12.3,13.0,1.5,2.5,4.0,0.098,-1.3,0.7,-0.6,0.7,Torrey Craig,15.0,0.57,0.99,0.044,115.5
70,Seth Curry,SG,32,BRK,61,1211,12.3,0.593,0.517,0.122,1.2,7.9,4.6,11.9,1.5,0.5,9.7,19.2,0.9,0.9,1.8,0.07,-1.2,-0.9,-2.1,0.0,Seth Curry,19.8,0.526,0.809,0.0,113.9
71,Stephen Curry,PG,34,GSW,56,1941,24.1,0.656,0.564,0.248,2.3,16.8,9.7,30.0,1.3,0.9,12.5,31.0,5.8,2.0,7.8,0.192,7.5,0.1,7.5,4.7,Stephen Curry,18.8,0.371,0.593,0.0,112.4
72,Dyson Daniels,PG,19,NOP,59,1042,8.8,0.503,0.413,0.192,3.9,16.5,10.2,16.4,2.0,1.0,20.2,11.6,-0.1,1.4,1.3,0.061,-3.4,1.6,-1.8,0.0,Dyson Daniels,13.6,0.55,0.889,0.034,106.7
73,Anthony Davis,C,29,LAL,56,1904,27.8,0.627,0.077,0.462,11.3,27.6,19.7,13.0,1.5,5.1,9.5,28.4,5.5,3.4,9.0,0.226,4.6,1.7,6.3,4.0,Anthony Davis,8.2,0.625,1.0,0.156,109.5
74,Johnny Davis,SG,20,WAS,28,423,7.2,0.446,0.409,0.158,2.7,13.9,8.5,9.2,1.2,1.6,8.5,20.5,-0.6,0.3,-0.3,-0.033,-5.8,-1.7,-7.4,-0.6,Johnny Davis,15.8,0.633,1.0,0.012,107.9
75,Terence Davis,SG,25,SAC,64,841,12.9,0.563,0.668,0.118,2.7,16.1,9.4,11.1,2.4,1.2,12.2,22.2,0.0,0.9,0.9,0.054,-1.3,-0.3,-1.5,0.1,Terence Davis,18.8,0.508,0.921,0.038,111.4
76,Dewayne Dedmon,C,33,TOT,38,426,15.5,0.577,0.258,0.325,9.1,28.3,18.5,9.5,1.1,4.4,12.7,20.6,0.3,0.7,1.0,0.115,-2.6,1.0,-1.6,0.0,Dewayne Dedmon,10.1,0.738,0.917,0.073,110.0
77,DeMar DeRozan,SF,33,CHI,74,2682,20.6,0.592,0.109,0.401,1.5,12.8,7.2,22.3,1.5,1.3,9.1,27.8,5.4,3.2,8.5,0.153,1.7,0.3,2.0,2.6,DeMar DeRozan,13.7,0.244,0.848,0.023,110.7
78,Hamidou Diallo,SF,24,DET,56,996,15.7,0.593,0.056,0.395,6.2,15.7,10.8,9.2,2.6,1.4,13.9,21.8,0.4,0.9,1.3,0.063,-1.8,0.4,-1.4,0.1,Hamidou Diallo,6.8,0.643,1.0,0.139,109.5
79,Gorgui Dieng,C,33,SAS,31,358,9.9,0.493,0.641,0.111,7.9,25.4,16.3,19.4,0.5,3.2,20.7,17.9,-0.2,0.2,0.0,0.001,-4.0,0.1,-3.9,-0.2,Gorgui Dieng,19.3,0.667,0.905,0.051,118.2
80,Ousmane Dieng,PF,19,OKC,39,569,9.3,0.505,0.541,0.127,3.5,16.5,9.9,10.7,1.2,1.1,12.0,15.9,-0.1,0.6,0.4,0.038,-3.1,-0.5,-3.6,-0.2,Ousmane Dieng,16.2,0.78,0.962,0.099,107.4
81,Spencer Dinwiddie,SG,29,TOT,79,2725,16.0,0.573,0.467,0.314,1.2,10.2,5.7,28.1,1.2,0.8,10.8,22.1,4.5,1.8,6.3,0.111,1.6,-0.9,0.7,1.8,Spencer Dinwiddie,15.7,0.118,0.602,0.021,114.2
82,Donte DiVincenzo,SG,26,GSW,72,1894,12.8,0.593,0.7,0.131,4.7,14.0,9.4,17.3,2.4,0.5,16.4,15.1,1.9,2.3,4.2,0.106,-0.6,1.3,0.7,1.3,Donte DiVincenzo,19.7,0.612,0.927,0.017,110.6
83,Luguentz Dort,SF,23,OKC,74,2272,11.3,0.513,0.468,0.297,5.9,10.4,8.1,9.2,1.6,0.9,8.5,19.8,0.9,2.1,2.9,0.062,-2.0,-1.0,-3.0,-0.6,Luguentz Dort,14.2,0.51,0.889,0.04,114.1
84,Ayo Dosunmu,SG,23,CHI,80,2098,10.2,0.567,0.332,0.144,2.5,9.3,5.9,13.2,1.4,1.2,14.0,14.9,0.7,2.2,2.9,0.067,-3.0,0.6,-2.5,-0.2,Ayo Dosunmu,11.2,0.55,1.0,0.018,110.1
85,Andre Drummond,C,29,CHI,67,849,20.8,0.606,0.011,0.456,18.7,40.2,29.6,5.7,2.6,3.1,18.6,21.0,0.8,2.0,2.8,0.159,-1.2,0.5,-0.8,0.3,Andre Drummond,2.3,0.614,0.0,0.277,106.0
86,Chris Duarte,SF,25,IND,46,897,8.6,0.496,0.523,0.216,2.4,11.9,7.1,9.7,1.3,0.9,10.1,19.0,-0.5,0.4,0.0,-0.003,-2.9,-1.6,-4.5,-0.6,Chris Duarte,17.3,0.471,0.782,0.015,115.6
87,Kris Dunn,PG,28,UTA,22,568,19.1,0.606,0.167,0.245,1.7,17.1,9.5,32.3,2.1,1.5,12.8,20.2,1.3,0.6,1.9,0.162,0.7,1.7,2.4,0.6,Kris Dunn,9.3,0.162,0.824,0.023,115.9
88,Kevin Durant,PF,34,TOT,47,1672,25.9,0.677,0.267,0.387,1.2,19.5,10.5,24.5,1.0,3.4,13.4,30.7,4.7,2.1,6.8,0.194,6.0,1.2,7.1,3.9,Kevin Durant,15.1,0.464,0.656,0.044,110.3
89,Jalen Duren,C,19,DET,67,1670,17.3,0.655,0.005,0.394,14.7,25.1,19.7,6.8,1.3,3.1,16.5,14.3,2.9,1.6,4.5,0.129,-0.4,-0.4,-0.8,0.5,Jalen Duren,3.3,0.667,0.0,0.412,116.2
90,Tari Eason,PF,21,HOU,82,1767,15.2,0.525,0.261,0.22,12.0,18.9,15.4,7.4,2.6,2.6,12.2,19.3,0.9,1.7,2.6,0.07,-1.3,-0.4,-1.7,0.1,Tari Eason,9.2,0.473,0.983,0.126,113.4
91,Anthony Edwards,SG,21,MIN,79,2842,17.4,0.564,0.375,0.274,1.9,15.9,9.0,19.3,2.1,1.8,13.0,29.9,0.2,3.6,3.8,0.064,1.0,0.0,1.0,2.1,Anthony Edwards,13.9,0.348,0.516,0.044,111.9
92,Kessler Edwards,SF,22,TOT,36,385,8.4,0.502,0.591,0.161,6.9,11.1,9.0,7.5,1.7,1.4,11.5,12.7,0.1,0.3,0.4,0.048,-3.2,-0.7,-3.9,-0.2,Kessler Edwards,17.1,0.632,1.0,0.054,115.8
